Book#,Type,Title,Language,Bookshelves,Author,rights,Subjects,Read online (web),Plain Text UTF-8,Total # of Sentences,Average sentence length in words,Total number of words,Average word length,Total number of unique words,Total 3letter,Total 4letter,Total 5letter,Total 6letter,Total 7letter,Total 8letter,Total 9letter,Total 10letter,Total 11letter,Total 12letter,Total 13letter,Total 14letter,Total 15letter,Total 16letter,Total 17letter,Total 18letter,Total 19letter,Total 20letter,Total 20plus,dolch_prek_instances,dolch_prek_breadth,dolch_kindergarten_instances,dolch_kindergarten_breadth,dolch_first_instances,dolch_first_breadth,dolch_second_instances,dolch_second_breadth,dolch_third_instances,dolch_third_breadth,Total number of instances of fry sight words in text,Fry Sight Word Breadth,Dialog Ratio,Flesch_Kincaid Grade Score,Flesch_kincaid Reading Ease Score,Total number of nouns,Total number of adjectives,Total number of verbs,Total number of adverbs,Total number of pronouns,Total number of prepositions,Total number of conjunctions,dolch_1st_instances,dolch_1st_breadth,dolch_2nd_instances,dolch_2nd_breadth,dolch_3rd_instances,dolch_3rd_breadth
1,Text,The Declaration of Independence of the United States of America,en,Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics,"Jefferson, Thomas",Public domain in the USA.,"E201 ; JK ; United States -- History -- Revolution, 1775-1783 -- Sources ; United States. Declaration of Independence",https://www.gutenberg.org/ebooks/1.html.images,https://www.gutenberg.org/ebooks/1.txt.utf-8,794,25.13,19956,4.68,3250,4070,2762,2305,1646,1523,1019,844,581,309,184,83,57,28,3,0,0,0,0,0,4594,0.775,2223,0.8269,,,,,,,13086,0.5697,34.3561,12.84,47.75,5851,1377,2983,749,1177,2749,995,2079,0.878,1028,0.7609,566,0.7805
2,Text,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics,United States,Public domain in the USA.,Civil rights -- United States -- Sources ; JK ; United States. Constitution. 1st-10th Amendments ; KF,https://www.gutenberg.org/ebooks/2.html.images,https://www.gutenberg.org/ebooks/2.txt.utf-8,73,24.6,1796,4.65,621,351,234,200,146,137,88,92,55,26,15,7,3,1,0,0,0,0,0,0,392,0.475,161,0.5192,,,,,,,1099,0.2086,52.9135,12.87,46.63,679,138,249,56,92,224,102,165,0.5854,102,0.4783,58,0.2927
3,Text,John F. Kennedy's Inaugural Address,en,Browsing: History - American; Browsing: Politics,"Kennedy, John F. (John Fitzgerald)",Public domain in the USA.,E838 ; United States -- Foreign relations -- 1961-1963 ; Presidents -- United States -- Inaugural addresses,https://www.gutenberg.org/ebooks/3.html.images,https://www.gutenberg.org/ebooks/3.txt.utf-8,104,13.11,1363,4.36,533,332,228,153,107,116,64,39,23,12,1,1,2,0,0,0,0,0,0,0,347,0.675,157,0.5192,,,,,,,958,0.2297,43.1021,6.42,72.37,340,121,214,75,107,170,59,142,0.4878,87,0.5,30,0.2927
4,Text,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,gothic Fiction; Movie Books; Precursors of Science Fiction; Science Fiction by Women; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Lincoln, Abraham",Public domain in the USA.,"E456 ; Soldiers' National Cemetery (Gettysburg, Pa.) ; Consecration of cemeteries -- Pennsylvania -- Gettysburg ; Lincoln, Abraham, 1809-1865. Gettysburg address",https://www.gutenberg.org/ebooks/4.html.images,https://www.gutenberg.org/ebooks/4.txt.utf-8,82,19.6,1607,4.64,557,312,257,182,128,120,66,82,50,24,8,7,3,2,0,0,0,0,0,0,345,0.45,182,0.6154,,,,,,,1009,0.2156,17.509,10.75,52.91,587,130,220,76,110,185,74,133,0.561,92,0.5217,49,0.3659
5,Text,The United States Constitution,en,United States; Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics,United States,Public domain in the USA.,JK ; United States. Constitution ; United States -- Politics and government -- 1783-1789 -- Sources ; KF,https://www.gutenberg.org/ebooks/5.html.images,https://www.gutenberg.org/ebooks/5.txt.utf-8,126,37.8,4763,4.73,1009,985,514,649,479,393,235,189,99,78,46,15,13,17,1,0,0,0,0,0,1047,0.5,459,0.6154,,,,,,,3170,0.2578,58.9091,18,33.32,1505,264,581,74,116,734,308,563,0.6098,210,0.5217,235,0.3902
6,Text,Give Me Liberty or Give Me Death,en,American Revolutionary War; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics,"Henry, Patrick",Public domain in the USA.,"E201 ; United States -- Politics and government -- 1775-1783 -- Sources ; Virginia -- Politics and government -- 1775-1783 -- Sources ; Speeches, addresses, etc., American",https://www.gutenberg.org/ebooks/6.html.images,https://www.gutenberg.org/ebooks/6.txt.utf-8,138,18.57,2563,4.47,819,514,413,291,184,188,110,104,71,24,14,10,6,1,0,0,0,0,0,0,620,0.55,304,0.6538,,,,,,,1718,0.2808,38.6411,9.42,60.61,816,186,421,102,223,296,113,230,0.6341,154,0.5435,73,0.4634
7,Text,The Mayflower Compact,en,Browsing: History - American,,Public domain in the USA.,"Mayflower Compact (1620) ; Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources ; Pilgrims (New Plymouth Colony) ; F001",https://www.gutenberg.org/ebooks/7.html.images,https://www.gutenberg.org/ebooks/7.txt.utf-8,17,18.12,308,5.06,184,56,37,38,37,37,28,8,11,3,2,1,0,0,0,0,0,0,0,0,53,0.2,16,0.2308,,,,,,,123,0.0481,0,10.67,50.83,194,9,11,5,9,32,18,24,0.1463,3,0.0652,3,0.0732
8,Text,Abraham Lincoln's Second Inaugural Address,en,US Civil War; Browsing: History - American; Browsing: Politics,"Lincoln, Abraham",Public domain in the USA.,E456 ; United States -- Politics and government -- 1861-1865 ; Presidents -- United States -- Inaugural addresses,https://www.gutenberg.org/ebooks/8.html.images,https://www.gutenberg.org/ebooks/8.txt.utf-8,31,25.58,793,4.48,367,187,121,101,62,59,42,28,19,8,3,1,0,0,0,0,0,0,0,0,189,0.525,98,0.5,,,,,,,536,0.1605,19.7252,11.77,56.26,185,51,144,39,39,109,35,82,0.4878,39,0.3696,9,0.0976
9,Text,Abraham Lincoln's First Inaugural Address,en,US Civil War; Browsing: History - American; Browsing: Politics,"Lincoln, Abraham",Public domain in the USA.,E456 ; Presidents -- United States -- Inaugural addresses ; United States -- Politics and government -- 1861-1865,https://www.gutenberg.org/ebooks/9.html.images,https://www.gutenberg.org/ebooks/9.txt.utf-8,136,26.83,3649,4.68,1032,736,505,393,267,241,196,147,133,54,50,16,15,3,3,0,0,0,0,0,943,0.65,500,0.6923,,,,,,,2536,0.3109,5.9653,13.7,44.65,802,296,581,223,237,526,166,366,0.6585,174,0.5435,85,0.4146
10,Text,The King James Version of the Bible,en,Banned Books List from the American Library Association; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal,,Public domain in the USA.,Bible ; BS,https://www.gutenberg.org/ebooks/10.html.images,https://www.gutenberg.org/ebooks/10.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
